year,ine_code,name,value
2015,1,Andalucía,8399043.0
2015,2,Aragón,1317847.0
2015,3,Principado de Asturias,1051229.0
2015,4,Baleares,1104479.0
2015,5,Canarias,2100306.0
2015,6,Cantabria,585179.0
2015,7,Castilla y León,2472052.0
2015,8,Castilla-La Mancha,2059191.0
2015,9,Cataluña,7508106.0
2015,10,Comunidad Valenciana,4980689.0
2015,11,Extremadura,1092997.0
2015,12,Galicia,2732347.0
2015,13,Comunidad de Madrid,6436996.0
2015,14,Región de Murcia,1467288.0
2015,15,Comunidad Foral de Navarra,640476.0
2015,16,País Vasco,2189257.0
2015,17,La Rioja,317053.0
2015,18,Ceuta,84263.0
2015,19,Melilla,85584.0
2014,1,Andalucía,8402305.0
2014,2,Aragón,1325385.0
2014,3,Principado de Asturias,1061756.0
2014,4,Baleares,1103442.0
2014,5,Canarias,2104815.0
2014,6,Cantabria,588656.0
2014,7,Castilla y León,2494790.0
2014,8,Castilla-La Mancha,2078611.0
2014,9,Cataluña,7518903.0
2014,10,Comunidad Valenciana,5004844.0
2014,11,Extremadura,1099632.0
2014,12,Galicia,2748695.0
2014,13,Comunidad de Madrid,6454440.0
2014,14,Región de Murcia,1466818.0
2014,15,Comunidad Foral de Navarra,640790.0
2014,16,País Vasco,2188985.0
2014,17,La Rioja,319002.0
2014,18,Ceuta,84963.0
2014,19,Melilla,84509.0
2013,1,Andalucía,8440300.0
2013,2,Aragón,1347150.0
2013,3,Principado de Asturias,1068165.0
2013,4,Baleares,1111674.0
2013,5,Canarias,2118679.0
2013,6,Cantabria,591888.0
2013,7,Castilla y León,2519875.0
2013,8,Castilla-La Mancha,2100998.0
2013,9,Cataluña,7553650.0
2013,10,Comunidad Valenciana,5113815.0
2013,11,Extremadura,1104004.0
2013,12,Galicia,2765940.0
2013,13,Comunidad de Madrid,6495551.0
2013,14,Región de Murcia,1472049.0
2013,15,Comunidad Foral de Navarra,644477.0
2013,16,País Vasco,2191682.0
2013,17,La Rioja,322027.0
2013,18,Ceuta,84180.0
2013,19,Melilla,83679.0
2012,1,Andalucía,8449985.0
2012,2,Aragón,1349467.0
2012,3,Principado de Asturias,1077360.0
2012,4,Baleares,1119439.0
2012,5,Canarias,2118344.0
2012,6,Cantabria,593861.0
2012,7,Castilla y León,2546078.0
2012,8,Castilla-La Mancha,2121888.0
2012,9,Cataluña,7570908.0
2012,10,Comunidad Valenciana,5129266.0
2012,11,Extremadura,1108130.0
2012,12,Galicia,2781498.0
2012,13,Comunidad de Madrid,6498560.0
2012,14,Región de Murcia,1474449.0
2012,15,Comunidad Foral de Navarra,644566.0
2012,16,País Vasco,2193093.0
2012,17,La Rioja,323609.0
2012,18,Ceuta,84018.0
2012,19,Melilla,80802.0
2011,1,Andalucía,8424102.0
2011,2,Aragón,1346293.0
2011,3,Principado de Asturias,1081487.0
2011,4,Baleares,1113114.0
2011,5,Canarias,2126769.0
2011,6,Cantabria,593121.0
2011,7,Castilla y León,2558463.0
2011,8,Castilla-La Mancha,2115334.0
2011,9,Cataluña,7539618.0
2011,10,Comunidad Valenciana,5117190.0
2011,11,Extremadura,1109367.0
2011,12,Galicia,2795422.0
2011,13,Comunidad de Madrid,6489680.0
2011,14,Región de Murcia,1470069.0
2011,15,Comunidad Foral de Navarra,642051.0
2011,16,País Vasco,2184606.0
2011,17,La Rioja,322955.0
2011,18,Ceuta,82376.0
2011,19,Melilla,78476.0
2010,1,Andalucía,8370975.0
2010,2,Aragón,1347095.0
2010,3,Principado de Asturias,1084341.0
2010,4,Baleares,1106049.0
2010,5,Canarias,2118519.0
2010,6,Cantabria,592250.0
2010,7,Castilla y León,2559515.0
2010,8,Castilla-La Mancha,2098373.0
2010,9,Cataluña,7512381.0
2010,10,Comunidad Valenciana,5111706.0
2010,11,Extremadura,1107220.0
2010,12,Galicia,2797653.0
2010,13,Comunidad de Madrid,6458684.0
2010,14,Región de Murcia,1461979.0
2010,15,Comunidad Foral de Navarra,636924.0
2010,16,País Vasco,2178339.0
2010,17,La Rioja,322415.0
2010,18,Ceuta,80579.0
2010,19,Melilla,76034.0
2009,1,Andalucía,8302923.0
2009,2,Aragón,1345473.0
2009,3,Principado de Asturias,1085289.0
2009,4,Baleares,1095426.0
2009,5,Canarias,2103992.0
2009,6,Cantabria,589235.0
2009,7,Castilla y León,2563521.0
2009,8,Castilla-La Mancha,2081313.0
2009,9,Cataluña,7475420.0
2009,10,Comunidad Valenciana,5094675.0
2009,11,Extremadura,1102410.0
2009,12,Galicia,2796089.0
2009,13,Comunidad de Madrid,6386932.0
2009,14,Región de Murcia,1446520.0
2009,15,Comunidad Foral de Navarra,630578.0
2009,16,País Vasco,2172175.0
2009,17,La Rioja,321702.0
2009,18,Ceuta,78674.0
2009,19,Melilla,73460.0
2008,1,Andalucía,8202220.0
2008,2,Aragón,1326918.0
2008,3,Principado de Asturias,1080138.0
2008,4,Baleares,1072844.0
2008,5,Canarias,2075968.0
2008,6,Cantabria,582138.0
2008,7,Castilla y León,2557330.0
2008,8,Castilla-La Mancha,2043100.0
2008,9,Cataluña,7364078.0
2008,10,Comunidad Valenciana,5029601.0
2008,11,Extremadura,1097744.0
2008,12,Galicia,2784169.0
2008,13,Comunidad de Madrid,6271638.0
2008,14,Región de Murcia,1426109.0
2008,15,Comunidad Foral de Navarra,620377.0
2008,16,País Vasco,2157112.0
2008,17,La Rioja,317501.0
2008,18,Ceuta,77389.0
2008,19,Melilla,71448.0
2007,1,Andalucía,8059461.0
2007,2,Aragón,1296655.0
2007,3,Principado de Asturias,1074862.0
2007,4,Baleares,1030650.0
2007,5,Canarias,2025951.0
2007,6,Cantabria,572824.0
2007,7,Castilla y León,2528417.0
2007,8,Castilla-La Mancha,1977304.0
2007,9,Cataluña,7210508.0
2007,10,Comunidad Valenciana,4885029.0
2007,11,Extremadura,1089990.0
2007,12,Galicia,2772533.0
2007,13,Comunidad de Madrid,6081689.0
2007,14,Región de Murcia,1392117.0
2007,15,Comunidad Foral de Navarra,605876.0
2007,16,País Vasco,2141860.0
2007,17,La Rioja,308968.0
2007,18,Ceuta,76603.0
2007,19,Melilla,69440.0
2006,1,Andalucía,7975672.0
2006,2,Aragón,1277471.0
2006,3,Principado de Asturias,1076896.0
2006,4,Baleares,1001062.0
2006,5,Canarias,1995833.0
2006,6,Cantabria,568091.0
2006,7,Castilla y León,2523020.0
2006,8,Castilla-La Mancha,1932261.0
2006,9,Cataluña,7134697.0
2006,10,Comunidad Valenciana,4806908.0
2006,11,Extremadura,1086373.0
2006,12,Galicia,2767524.0
2006,13,Comunidad de Madrid,6008183.0
2006,14,Región de Murcia,1370306.0
2006,15,Comunidad Foral de Navarra,601874.0
2006,16,País Vasco,2133684.0
2006,17,La Rioja,306377.0
2006,18,Ceuta,75861.0
2006,19,Melilla,66871.0
2005,1,Andalucía,7849799.0
2005,2,Aragón,1269027.0
2005,3,Principado de Asturias,1076635.0
2005,4,Baleares,983131.0
2005,5,Canarias,1968280.0
2005,6,Cantabria,562309.0
2005,7,Castilla y León,2510849.0
2005,8,Castilla-La Mancha,1894667.0
2005,9,Cataluña,6995206.0
2005,10,Comunidad Valenciana,4692449.0
2005,11,Extremadura,1083879.0
2005,12,Galicia,2762198.0
2005,13,Comunidad de Madrid,5964143.0
2005,14,Región de Murcia,1335792.0
2005,15,Comunidad Foral de Navarra,593472.0
2005,16,País Vasco,2124846.0
2005,17,La Rioja,301084.0
2005,18,Ceuta,75276.0
2005,19,Melilla,65488.0
2004,1,Andalucía,7687518.0
2004,2,Aragón,1249584.0
2004,3,Principado de Asturias,1073761.0
2004,4,Baleares,955045.0
2004,5,Canarias,1915540.0
2004,6,Cantabria,554784.0
2004,7,Castilla y León,2493918.0
2004,8,Castilla-La Mancha,1848881.0
2004,9,Cataluña,6813319.0
2004,10,Comunidad Valenciana,4543304.0
2004,11,Extremadura,1075286.0
2004,12,Galicia,2750985.0
2004,13,Comunidad de Madrid,5804829.0
2004,14,Región de Murcia,1294694.0
2004,15,Comunidad Foral de Navarra,584734.0
2004,16,País Vasco,2115279.0
2004,17,La Rioja,293553.0
2004,18,Ceuta,74654.0
2004,19,Melilla,68016.0
2003,1,Andalucía,7606848.0
2003,2,Aragón,1230090.0
2003,3,Principado de Asturias,1075381.0
2003,4,Baleares,947361.0
2003,5,Canarias,1894868.0
2003,6,Cantabria,549690.0
2003,7,Castilla y León,2487646.0
2003,8,Castilla-La Mancha,1815781.0
2003,9,Cataluña,6704146.0
2003,10,Comunidad Valenciana,4470885.0
2003,11,Extremadura,1073904.0
2003,12,Galicia,2751094.0
2003,13,Comunidad de Madrid,5718942.0
2003,14,Región de Murcia,1269230.0
2003,15,Comunidad Foral de Navarra,578210.0
2003,16,País Vasco,2112204.0
2003,17,La Rioja,287390.0
2003,18,Ceuta,74931.0
2003,19,Melilla,68463.0
2002,1,Andalucía,7478432.0
2002,2,Aragón,1217514.0
2002,3,Principado de Asturias,1073971.0
2002,4,Baleares,916968.0
2002,5,Canarias,1843755.0
2002,6,Cantabria,542275.0
2002,7,Castilla y León,2480369.0
2002,8,Castilla-La Mancha,1782038.0
2002,9,Cataluña,6506440.0
2002,10,Comunidad Valenciana,4326708.0
2002,11,Extremadura,1073050.0
2002,12,Galicia,2737370.0
2002,13,Comunidad de Madrid,5527152.0
2002,14,Región de Murcia,1226993.0
2002,15,Comunidad Foral de Navarra,569628.0
2002,16,País Vasco,2108281.0
2002,17,La Rioja,281614.0
2002,18,Ceuta,76152.0
2002,19,Melilla,69184.0
2001,1,Andalucía,7403968.0
2001,2,Aragón,1199753.0
2001,3,Principado de Asturias,1075329.0
2001,4,Baleares,878627.0
2001,5,Canarias,1781366.0
2001,6,Cantabria,537606.0
2001,7,Castilla y León,2479425.0
2001,8,Castilla-La Mancha,1755053.0
2001,9,Cataluña,6361365.0
2001,10,Comunidad Valenciana,4202608.0
2001,11,Extremadura,1073381.0
2001,12,Galicia,2732926.0
2001,13,Comunidad de Madrid,5372433.0
2001,14,Región de Murcia,1190378.0
2001,15,Comunidad Foral de Navarra,556263.0
2001,16,País Vasco,2101478.0
2001,17,La Rioja,270400.0
2001,18,Ceuta,75694.0
2001,19,Melilla,68789.0
2000,1,Andalucía,7340052.0
2000,2,Aragón,1189909.0
2000,3,Principado de Asturias,1076567.0
2000,4,Baleares,845630.0
2000,5,Canarias,1716276.0
2000,6,Cantabria,531159.0
2000,7,Castilla y León,2479118.0
2000,8,Castilla-La Mancha,1734261.0
2000,9,Cataluña,6261999.0
2000,10,Comunidad Valenciana,4120729.0
2000,11,Extremadura,1069420.0
2000,12,Galicia,2731900.0
2000,13,Comunidad de Madrid,5205408.0
2000,14,Región de Murcia,1149328.0
2000,15,Comunidad Foral de Navarra,543757.0
2000,16,País Vasco,2098596.0
2000,17,La Rioja,264178.0
2000,18,Ceuta,75241.0
2000,19,Melilla,66263.0
1999,1,Andalucía,7305117.0
1999,2,Aragón,1186849.0
1999,3,Principado de Asturias,1084314.0
1999,4,Baleares,821820.0
1999,5,Canarias,1672689.0
1999,6,Cantabria,528478.0
1999,7,Castilla y León,2488062.0
1999,8,Castilla-La Mancha,1726199.0
1999,9,Cataluña,6207533.0
1999,10,Comunidad Valenciana,4066474.0
1999,11,Extremadura,1073574.0
1999,12,Galicia,2730337.0
1999,13,Comunidad de Madrid,5145325.0
1999,14,Región de Murcia,1131128.0
1999,15,Comunidad Foral de Navarra,538009.0
1999,16,País Vasco,2100441.0
1999,17,La Rioja,265178.0
1999,18,Ceuta,73704.0
1999,19,Melilla,56929.0
1998,1,Andalucía,7236459.0
1998,2,Aragón,1183234.0
1998,3,Principado de Asturias,1081834.0
1998,4,Baleares,796483.0
1998,5,Canarias,1630015.0
1998,6,Cantabria,527137.0
1998,7,Castilla y León,2484603.0
1998,8,Castilla-La Mancha,1716152.0
1998,9,Cataluña,6147610.0
1998,10,Comunidad Valenciana,4023441.0
1998,11,Extremadura,1069419.0
1998,12,Galicia,2724544.0
1998,13,Comunidad de Madrid,5091336.0
1998,14,Región de Murcia,1115068.0
1998,15,Comunidad Foral de Navarra,530819.0
1998,16,País Vasco,2098628.0
1998,17,La Rioja,263644.0
1998,18,Ceuta,72117.0
1998,19,Melilla,60108.0
1997,1,Andalucía,0.0
1997,2,Aragón,0.0
1997,3,Principado de Asturias,0.0
1997,4,Baleares,0.0
1997,5,Canarias,0.0
1997,6,Cantabria,0.0
1997,7,Castilla y León,0.0
1997,8,Castilla-La Mancha,0.0
1997,9,Cataluña,0.0
1997,10,Comunidad Valenciana,0.0
1997,11,Extremadura,0.0
1997,12,Galicia,0.0
1997,13,Comunidad de Madrid,0.0
1997,14,Región de Murcia,0.0
1997,15,Comunidad Foral de Navarra,0.0
1997,16,País Vasco,0.0
1997,17,La Rioja,0.0
1997,18,Ceuta,0.0
1997,19,Melilla,0.0
1996,1,Andalucía,7234873.0
1996,2,Aragón,1187546.0
1996,3,Principado de Asturias,1087885.0
1996,4,Baleares,760379.0
1996,5,Canarias,1606534.0
1996,6,Cantabria,527437.0
1996,7,Castilla y León,2508496.0
1996,8,Castilla-La Mancha,1712529.0
1996,9,Cataluña,6090040.0
1996,10,Comunidad Valenciana,4009329.0
1996,11,Extremadura,1070244.0
1996,12,Galicia,2742622.0
1996,13,Comunidad de Madrid,5022289.0
1996,14,Región de Murcia,1097249.0
1996,15,Comunidad Foral de Navarra,520574.0
1996,16,País Vasco,2098055.0
