year,ine_code,name,value
2015,2,Albacete,394580.0
2015,3,Alicante/Alacant,1855047.0
2015,4,Almería,701211.0
2015,1,Araba/Álava,323648.0
2015,33,Asturias,1051229.0
2015,5,Ávila,164925.0
2015,6,Badajoz,686730.0
2015,7,"Balears, Illes",1104479.0
2015,8,Barcelona,5523922.0
2015,48,Bizkaia,1148775.0
2015,9,Burgos,364002.0
2015,10,Cáceres,406267.0
2015,11,Cádiz,1240284.0
2015,39,Cantabria,585179.0
2015,12,Castellón/Castelló,582327.0
2015,13,Ciudad Real,513713.0
2015,14,Córdoba,795611.0
2015,15,"Coruña, A",1127196.0
2015,16,Cuenca,203841.0
2015,20,Gipuzkoa,716834.0
2015,17,Girona,753054.0
2015,18,Granada,917297.0
2015,19,Guadalajara,253686.0
2015,21,Huelva,520017.0
2015,22,Huesca,222909.0
2015,23,Jaén,654170.0
2015,24,León,479395.0
2015,25,Lleida,436029.0
2015,27,Lugo,339386.0
2015,28,Madrid,6436996.0
2015,29,Málaga,1628973.0
2015,30,Murcia,1467288.0
2015,31,Navarra,640476.0
2015,32,Ourense,318391.0
2015,34,Palencia,166035.0
2015,35,"Palmas, Las",1098406.0
2015,36,Pontevedra,947374.0
2015,26,"Rioja, La",317053.0
2015,37,Salamanca,339395.0
2015,38,Santa Cruz de Tenerife,1001900.0
2015,40,Segovia,157570.0
2015,41,Sevilla,1941480.0
2015,42,Soria,91006.0
2015,43,Tarragona,795101.0
2015,44,Teruel,138932.0
2015,45,Toledo,693371.0
2015,46,Valencia/València,2543315.0
2015,47,Valladolid,526288.0
2015,49,Zamora,183436.0
2015,50,Zaragoza,956006.0
2015,51,Ceuta,84263.0
2015,52,Melilla,85584.0
2014,2,Albacete,396987.0
2014,3,Alicante/Alacant,1868438.0
2014,4,Almería,701688.0
2014,1,Araba/Álava,321932.0
2014,33,Asturias,1061756.0
2014,5,Ávila,167015.0
2014,6,Badajoz,690929.0
2014,7,"Balears, Illes",1103442.0
2014,8,Barcelona,5523784.0
2014,48,Bizkaia,1151905.0
2014,9,Burgos,366900.0
2014,10,Cáceres,408703.0
2014,11,Cádiz,1240175.0
2014,39,Cantabria,588656.0
2014,12,Castellón/Castelló,587508.0
2014,13,Ciudad Real,519613.0
2014,14,Córdoba,799402.0
2014,15,"Coruña, A",1132735.0
2014,16,Cuenca,207449.0
2014,20,Gipuzkoa,715148.0
2014,17,Girona,756156.0
2014,18,Granada,919455.0
2014,19,Guadalajara,255426.0
2014,21,Huelva,519229.0
2014,22,Huesca,224909.0
2014,23,Jaén,659033.0
2014,24,León,484694.0
2014,25,Lleida,438001.0
2014,27,Lugo,342748.0
2014,28,Madrid,6454440.0
2014,29,Málaga,1621968.0
2014,30,Murcia,1466818.0
2014,31,Navarra,640790.0
2014,32,Ourense,322293.0
2014,34,Palencia,167609.0
2014,35,"Palmas, Las",1100027.0
2014,36,Pontevedra,950919.0
2014,26,"Rioja, La",319002.0
2014,37,Salamanca,342459.0
2014,38,Santa Cruz de Tenerife,1004788.0
2014,40,Segovia,159303.0
2014,41,Sevilla,1941355.0
2014,42,Soria,92221.0
2014,43,Tarragona,800962.0
2014,44,Teruel,140365.0
2014,45,Toledo,699136.0
2014,46,Valencia/València,2548898.0
2014,47,Valladolid,529157.0
2014,49,Zamora,185432.0
2014,50,Zaragoza,960111.0
2014,51,Ceuta,84963.0
2014,52,Melilla,84509.0
2013,2,Albacete,400007.0
2013,3,Alicante/Alacant,1945642.0
2013,4,Almería,699329.0
2013,1,Araba/Álava,321417.0
2013,33,Asturias,1068165.0
2013,5,Ávila,168825.0
2013,6,Badajoz,693729.0
2013,7,"Balears, Illes",1111674.0
2013,8,Barcelona,5540925.0
2013,48,Bizkaia,1156447.0
2013,9,Burgos,371248.0
2013,10,Cáceres,410275.0
2013,11,Cádiz,1238492.0
2013,39,Cantabria,591888.0
2013,12,Castellón/Castelló,601699.0
2013,13,Ciudad Real,524962.0
2013,14,Córdoba,802422.0
2013,15,"Coruña, A",1138161.0
2013,16,Cuenca,211899.0
2013,20,Gipuzkoa,713818.0
2013,17,Girona,761632.0
2013,18,Granada,919319.0
2013,19,Guadalajara,257723.0
2013,21,Huelva,520668.0
2013,22,Huesca,226329.0
2013,23,Jaén,664916.0
2013,24,León,489752.0
2013,25,Lleida,440915.0
2013,27,Lugo,346005.0
2013,28,Madrid,6495551.0
2013,29,Málaga,1652999.0
2013,30,Murcia,1472049.0
2013,31,Navarra,644477.0
2013,32,Ourense,326724.0
2013,34,Palencia,168955.0
2013,35,"Palmas, Las",1103850.0
2013,36,Pontevedra,955050.0
2013,26,"Rioja, La",322027.0
2013,37,Salamanca,345548.0
2013,38,Santa Cruz de Tenerife,1014829.0
2013,40,Segovia,161702.0
2013,41,Sevilla,1942155.0
2013,42,Soria,93291.0
2013,43,Tarragona,810178.0
2013,44,Teruel,142183.0
2013,45,Toledo,706407.0
2013,46,Valencia/València,2566474.0
2013,47,Valladolid,532284.0
2013,49,Zamora,188270.0
2013,50,Zaragoza,978638.0
2013,51,Ceuta,84180.0
2013,52,Melilla,83679.0
2012,2,Albacete,402837.0
2012,3,Alicante/Alacant,1943910.0
2012,4,Almería,704219.0
2012,1,Araba/Álava,322557.0
2012,33,Asturias,1077360.0
2012,5,Ávila,171265.0
2012,6,Badajoz,694533.0
2012,7,"Balears, Illes",1119439.0
2012,8,Barcelona,5552050.0
2012,48,Bizkaia,1158439.0
